model,dataset,class,temperature,precision,recall,f1_score,accuracy
QWQ:32b,Sentiment_fairness,Negative,temperature_0,0.8095,0.9444,0.8718,0.9
QWQ:32b,Sentiment_fairness,Negative,temperature_1,0.8095,0.9444,0.8718,0.9
QWQ:32b,Sentiment_fairness,Neutral,temperature_0,0.9412,0.8,0.8649,0.9
QWQ:32b,Sentiment_fairness,Neutral,temperature_1,0.9412,0.8,0.8649,0.9
QWQ:32b,Sentiment_fairness,Positive,temperature_0,1.0,1.0,1.0,0.9
QWQ:32b,Sentiment_fairness,Positive,temperature_1,1.0,1.0,1.0,0.9
QWQ:32b,Sentiment_negation,Negative,temperature_0,0.6429,1.0,0.7826,0.76
QWQ:32b,Sentiment_negation,Negative,temperature_1,0.6429,1.0,0.7826,0.76
QWQ:32b,Sentiment_negation,Neutral,temperature_0,0.9,0.45,0.6,0.76
QWQ:32b,Sentiment_negation,Neutral,temperature_1,0.9,0.45,0.6,0.76
QWQ:32b,Sentiment_negation,Positive,temperature_0,0.9167,0.9167,0.9167,0.76
QWQ:32b,Sentiment_negation,Positive,temperature_1,0.9167,0.9167,0.9167,0.76
QWQ:32b,Sentiment_ner,Negative,temperature_0,0.8182,1.0,0.9,0.92
QWQ:32b,Sentiment_ner,Negative,temperature_1,0.8182,1.0,0.9,0.92
QWQ:32b,Sentiment_ner,Neutral,temperature_0,1.0,0.8,0.8889,0.92
QWQ:32b,Sentiment_ner,Neutral,temperature_1,1.0,0.8,0.8889,0.92
QWQ:32b,Sentiment_ner,Positive,temperature_0,1.0,1.0,1.0,0.92
QWQ:32b,Sentiment_ner,Positive,temperature_1,1.0,1.0,1.0,0.92
QWQ:32b,Sentiment_robustness,Negative,temperature_0,0.7826,1.0,0.878,0.9
QWQ:32b,Sentiment_robustness,Negative,temperature_1,0.7826,1.0,0.878,0.9
QWQ:32b,Sentiment_robustness,Neutral,temperature_0,1.0,0.75,0.8571,0.9
QWQ:32b,Sentiment_robustness,Neutral,temperature_1,1.0,0.75,0.8571,0.9
QWQ:32b,Sentiment_robustness,Positive,temperature_0,1.0,1.0,1.0,0.9
QWQ:32b,Sentiment_robustness,Positive,temperature_1,1.0,1.0,1.0,0.9
QWQ:32b,Sentiment_taxonomy,Negative,temperature_0,0.75,1.0,0.8571,0.86
QWQ:32b,Sentiment_taxonomy,Negative,temperature_1,0.75,1.0,0.8571,0.86
QWQ:32b,Sentiment_taxonomy,Neutral,temperature_0,0.9333,0.7,0.8,0.86
QWQ:32b,Sentiment_taxonomy,Neutral,temperature_1,0.9333,0.7,0.8,0.86
QWQ:32b,Sentiment_taxonomy,Positive,temperature_0,1.0,0.9167,0.9565,0.86
QWQ:32b,Sentiment_taxonomy,Positive,temperature_1,1.0,0.9167,0.9565,0.86
QWQ:32b,Sentiment_temporal,Negative,temperature_0,0.72,1.0,0.8372,0.86
QWQ:32b,Sentiment_temporal,Negative,temperature_1,0.72,1.0,0.8372,0.86
QWQ:32b,Sentiment_temporal,Neutral,temperature_0,1.0,0.65,0.7879,0.86
QWQ:32b,Sentiment_temporal,Neutral,temperature_1,1.0,0.65,0.7879,0.86
QWQ:32b,Sentiment_temporal,Positive,temperature_0,1.0,1.0,1.0,0.86
QWQ:32b,Sentiment_temporal,Positive,temperature_1,1.0,1.0,1.0,0.86
QWQ:32b,Sentiment_vocab,Negative,temperature_0,0.6667,1.0,0.8,0.82
QWQ:32b,Sentiment_vocab,Negative,temperature_1,0.6667,1.0,0.8,0.82
QWQ:32b,Sentiment_vocab,Neutral,temperature_0,1.0,0.55,0.7097,0.82
QWQ:32b,Sentiment_vocab,Neutral,temperature_1,1.0,0.55,0.7097,0.82
QWQ:32b,Sentiment_vocab,Positive,temperature_0,1.0,1.0,1.0,0.82
QWQ:32b,Sentiment_vocab,Positive,temperature_1,1.0,1.0,1.0,0.82
